python main_coco2.py --lr 0.003 --lmbd1 100000 --lmbd2 10 --anneal 100
train environment:  43
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
train environment:  46
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
['/coyote', '/raccoon']

working with 2 training environments: 
env['images']:  858
env['labels']:  858
class distribution:  582 coyotes and 276 raccoons. baseline accuracy 0.68 (always coyote).
env['images']:  753
env['labels']:  753
class distribution:  512 coyotes and 241 raccoons. baseline accuracy 0.68 (always coyote).
x_test:  522
y_test:  522
test class distribution:  144 coyotes and 378 raccoons. baseline accuracy 0.28 (always coyote).
Using GPU - True

========================================COCO========================================
{'n_restarts': 1, 'steps': 2001, 'n_classes': 2, 'fc_only': True, 'model_path': './models/', 'transform': {'train': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
), 'test': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
)}, 'loader_tr_args': {'batch_size': 100, 'num_workers': 1}, 'loader_te_args': {'batch_size': 100, 'num_workers': 1}, 'loader_sample_args': {'batch_size': 100, 'num_workers': 1}}
step            loss            train nll       train acc       dir_w           inv_w           test nll        test acc        test prec       test rec     
650             4.91196         0.30901         0.86523         0.31603         4.28692         0.44139         0.82818         0.84729         0.91005      
660             1.53695         0.30492         0.86758         0.30239         0.92964         0.46910         0.82379         0.85024         0.93122      
670             3.46145         0.30440         0.86637         0.29209         2.86496         0.49915         0.76955         0.84433         0.84656      
680             12.50433        0.30110         0.86947         0.29122         11.91201        0.51280         0.76030         0.84350         0.84127      
690             4.70015         0.30746         0.86607         0.30283         4.08986         0.47170         0.80409         0.84555         0.85450      
700             0.99287         0.30406         0.86771         0.29691         0.39190         0.49531         0.78106         0.84810         0.88624      
710             3.13869         0.30732         0.86428         0.30687         2.52450         0.45531         0.82152         0.84750         0.89683      
720             0.71488         0.30402         0.86668         0.30397         0.10690         0.46659         0.80561         0.84872         0.87566      
730             1.87623         0.30651         0.86526         0.30602         1.26369         0.46713         0.82712         0.84928         0.93915      
740             1.43469         0.30469         0.86579         0.30655         0.82345         0.47869         0.79212         0.84833         0.87302      
750             1.13889         0.30705         0.86937         0.30623         0.52561         0.44289         0.84061         0.84964         0.94180      
760             2.46251         0.30833         0.86406         0.30943         1.84476         0.48634         0.78879         0.84755         0.86772      
770             2.82496         0.30901         0.86353         0.31375         2.20219         0.45128         0.84227         0.85000         0.94444      
780             5.64696         0.30663         0.86540         0.30522         5.03511         0.43774         0.84985         0.85036         0.94709      
